Survived,Class,Sex,Age,Fare,SiblingsSpouses,ParentsChildren,embarked
0,3,M,28.0,8.05,0,0,S
0,1,M,71.0,34.6542,0,0,C
1,1,M,23.0,63.3583,0,1,C
1,2,F,34.0,23.0,0,1,S
0,2,M,34.0,26.0,1,0,S
0,3,F,28.0,7.8958,0,0,S
0,3,M,28.0,7.8958,0,0,S
0,1,M,21.0,77.2875,0,1,S
0,3,M,33.0,8.6542,0,0,S
0,3,M,37.0,7.925,2,0,S
0,3,M,28.0,7.8958,0,0,S
1,3,F,21.0,7.65,0,0,S
1,3,M,28.0,7.775,0,0,S
0,3,M,38.0,7.8958,0,0,S
1,3,F,15.999805434619676,24.15,1,0,Q
0,1,M,47.0,52.0,0,0,S
0,3,F,14.5,14.4542,1,0,C
0,3,M,22.0,8.05,0,0,S
0,3,F,20.0,9.825,1,0,S
0,3,F,17.0,14.4583,0,0,C
0,3,M,21.0,7.925,0,0,S
0,3,M,70.5,7.75,0,0,Q
0,2,M,29.0,21.0,1,0,S
0,1,M,24.0,247.5208,0,1,C
0,3,F,2.0,31.275,4,2,S
0,2,M,21.0,73.5,2,0,S
0,3,M,28.0,8.05,0,0,S
0,2,M,32.5,30.0708,1,0,C
1,2,F,32.5,13.0,0,0,S
0,1,M,54.0,77.2875,0,1,S
1,3,M,12.0,11.2417,1,0,C
0,3,M,28.0,7.75,0,0,Q
1,3,M,24.0,7.1417,0,0,S
1,3,F,28.0,22.3583,1,1,C
0,3,M,45.0,6.975,0,0,S
0,3,M,33.0,7.8958,0,0,C
0,3,M,20.0,7.05,0,0,S
0,3,F,47.0,14.5,1,0,S
1,2,F,29.0,26.0,1,0,S
0,2,M,25.0,13.0,0,0,S
0,2,M,23.0,15.0458,0,0,C
1,1,F,19.0,26.2833,0,2,S
0,1,M,37.0,53.1,1,0,S
0,3,M,16.0,9.2167,0,0,S
0,1,M,24.0,79.2,0,0,C
0,3,F,28.0,15.2458,0,2,C
1,3,F,22.0,7.75,0,0,S
1,3,F,24.0,15.85,1,0,S
0,3,M,19.0,6.75,0,0,Q
0,2,M,18.0,11.5,0,0,S
0,2,M,19.0,36.75,1,1,S
1,3,M,27.0,7.7958,0,0,S
0,3,F,9.0,34.375,2,2,S
0,2,M,36.5,26.0,0,2,S
0,2,M,42.0,13.0,0,0,S
0,2,M,51.0,12.525,0,0,S
1,1,F,22.0,66.6,1,0,S
0,3,M,55.5,8.05,0,0,S
0,3,M,40.5,14.5,0,2,S
0,3,M,28.0,7.3125,0,0,S
0,1,M,51.0,61.3792,0,1,C
1,3,F,16.0,7.7333,0,0,Q
0,3,M,30.0,8.05,0,0,S
0,3,M,34.718283137232525,8.6625,0,0,S
0,3,M,28.0,69.55,8,2,S
0,3,M,44.0,16.1,0,1,S
1,2,F,40.0,15.75,0,0,S
0,3,M,26.0,7.775,0,0,S
0,3,M,17.0,8.6625,0,0,S
0,3,M,1.0,39.6875,4,1,S
1,3,M,9.0,20.525,0,2,S
1,1,F,28.0,55.0,0,1,S
0,3,F,45.0,27.9,1,4,S
0,1,M,28.0,25.925,0,0,S
0,3,M,28.0,56.4958,0,0,S
0,1,M,61.0,33.5,0,0,S
0,3,M,4.0,29.125,4,1,Q
1,3,F,1.0,11.1333,1,1,S
0,3,M,21.0,7.925,0,0,S
0,1,M,56.0,30.6958,0,0,C
0,3,M,18.0,7.8542,1,1,S
0,3,M,28.0,25.4667,3,1,S
0,1,F,50.0,28.7125,0,0,C
0,2,M,30.0,13.0,0,0,S
0,3,M,36.0,0.0,0,0,S
0,3,F,28.0,69.55,8,2,S
0,2,M,28.0,15.05,0,0,C
0,3,M,9.0,31.3875,4,2,S
1,2,M,1.0,39.0,2,1,S
1,3,F,4.0,22.025,0,2,S
0,1,M,28.0,50.0,0,0,S
1,3,F,28.0,15.5,1,0,Q
1,1,M,45.0,26.55,0,0,S
0,3,M,40.0,15.5,1,1,Q
0,3,M,36.0,7.8958,0,0,S
1,2,F,32.0,13.0,0,0,S
0,2,M,19.0,13.0,0,0,S
1,3,F,19.0,7.8542,1,0,S
1,2,M,3.0,26.0,1,1,S
1,1,F,44.0,27.7208,0,0,C
1,1,F,58.0,146.5208,0,0,C
0,3,M,28.0,7.75,0,0,Q
0,3,M,42.0,8.4042,0,1,S
1,3,F,28.0,7.75,0,0,Q
0,2,F,24.0,13.0,0,0,S
0,3,M,28.0,9.5,0,0,S
0,3,M,29.42963943480783,69.55,8,2,S
0,3,M,34.0,6.4958,0,0,S
0,3,M,45.5,7.225,0,0,C
1,3,M,18.0,8.05,0,0,S
0,3,F,2.0,10.4625,0,1,S
0,3,M,32.0,15.85,1,0,S
1,3,M,26.0,18.7875,0,0,C
1,3,F,16.0,7.75,0,0,Q
1,1,M,40.0,31.0,0,0,C
0,3,M,24.0,7.05,0,0,S
1,2,F,35.0,21.0,0,0,S
0,3,M,22.0,7.25,0,0,S
0,2,M,30.0,13.0,0,0,S
0,3,M,28.0,7.75,1,0,Q
1,1,F,31.0,113.275,1,0,C
1,3,F,27.0,7.925,0,0,S
0,2,M,42.0,27.0,1,0,S
1,1,F,32.0,76.2917,0,0,C
0,2,M,30.0,10.5,0,0,S
1,3,M,16.0,8.05,0,0,S
0,2,M,27.0,13.0,0,0,S
0,3,M,51.0,8.05,0,0,S
0,3,M,28.0,7.8958,0,0,S
1,1,M,38.0,90.0,1,0,S
0,3,M,22.0,9.35,0,0,S
1,2,M,19.0,10.5,0,0,S
0,3,M,20.5,7.25,0,0,S
0,2,M,18.0,13.0,0,0,S
0,3,F,28.0,25.4667,3,1,S
1,1,F,35.0,83.475,1,0,S
0,3,M,29.0,7.775,0,0,S
0,2,M,59.0,13.5,0,0,S
1,3,F,5.0,31.3875,4,2,S
0,2,M,24.0,10.5,0,0,S
0,3,F,25.45806795314265,7.55,0,0,S
0,2,M,44.0,26.0,1,0,S
1,2,F,8.0,26.25,0,2,S
0,2,M,19.0,10.5,0,0,S
0,2,M,33.0,12.275,0,0,S
0,3,F,28.0,14.4542,1,0,C
1,3,F,28.0,15.5,1,0,Q
0,2,M,29.0,10.5,0,0,S
0,3,M,22.0,7.125,0,0,S
0,3,M,30.0,7.225,0,0,C
0,1,M,44.0,90.0,2,0,Q
0,3,F,25.0,7.775,0,0,S
1,2,F,24.0,14.5,0,2,S
1,1,M,37.0,52.5542,1,1,S
0,2,M,54.0,26.0,1,0,S
0,3,M,28.0,7.25,0,0,S
0,3,F,29.0,10.4625,1,1,S
0,1,M,62.0,26.55,0,0,S
0,3,M,30.0,16.1,1,0,S
0,3,F,41.0,20.2125,0,2,S
1,3,F,29.0,15.2458,0,2,C
1,1,F,28.0,79.2,0,0,C
1,1,F,30.0,86.5,0,0,S
1,1,F,35.0,512.3292,0,0,C
1,2,F,50.0,26.0,0,1,S
0,3,M,28.0,7.75,0,0,Q
1,3,M,3.0,31.3875,4,2,S
0,1,M,52.0,79.65,1,1,S
0,1,M,40.0,0.0,0,0,S
0,3,F,28.0,7.75,0,0,Q
0,2,M,36.0,10.5,0,0,S
0,3,M,16.0,39.6875,4,1,S
1,3,M,25.0,7.775,1,0,S
1,1,F,58.0,153.4625,0,1,S
1,1,F,35.0,135.6333,0,0,S
0,1,M,28.0,31.0,0,0,S
1,3,M,25.0,0.0,0,0,S
1,2,F,41.0,19.5,0,1,S
0,1,M,37.0,29.7,0,1,C
1,3,F,28.0,7.75,0,0,Q
1,1,F,63.0,77.9583,1,0,S
0,3,F,45.0,7.75,0,0,S
0,2,M,28.0,0.0,0,0,S
0,3,M,7.0,29.125,4,1,Q
1,3,F,35.0,20.25,1,1,S
0,3,M,65.0,7.75,0,0,Q
0,3,M,28.0,7.8542,0,0,S
0,3,M,16.0,9.5,0,0,S
1,3,M,19.0,8.05,0,0,S
0,1,M,28.0,26.0,0,0,S
0,3,M,33.0,8.6625,0,0,C
1,3,M,30.0,9.5,0,0,S
0,3,M,22.0,7.8958,0,0,S
1,2,M,42.0,13.0,0,0,S
1,3,F,22.0,7.75,0,0,Q
1,1,F,26.0,78.85,0,0,S
1,1,F,19.0,91.0792,1,0,C
0,2,M,36.0,12.875,0,0,C
0,3,F,24.0,8.85,0,0,S
0,3,M,24.0,7.8958,0,0,S
0,1,M,28.0,27.7208,0,0,C
0,3,M,23.5,7.2292,0,0,C
0,1,F,2.0,151.55,1,2,S
1,1,M,28.0,30.5,0,0,S
1,1,F,50.0,247.5208,0,1,C
1,3,F,28.0,7.75,0,0,Q
1,3,M,28.0,23.25,2,0,Q
0,3,M,19.0,0.0,0,0,S
1,2,F,28.0,12.35,0,0,Q
0,3,M,28.0,8.05,0,0,S
1,1,M,0.92,151.55,1,2,S
1,1,F,28.0,110.8833,0,0,C
1,1,F,17.0,108.9,1,0,C
0,2,M,30.0,24.0,1,0,C
1,1,F,30.0,56.9292,0,0,C
1,1,F,24.0,83.1583,0,0,C
1,1,F,18.0,262.375,2,2,C
0,2,F,26.0,26.0,1,1,S
0,3,M,28.0,7.8958,0,0,S
0,2,M,43.0,26.25,1,1,S
1,3,F,26.0,7.8542,0,0,S
1,2,F,24.0,26.0,1,0,S
0,2,M,54.0,14.0,0,0,S
1,1,F,31.0,164.8667,0,2,S
1,1,F,40.0,134.5,1,1,C
0,3,M,22.0,7.25,0,0,S
0,3,M,27.0,7.8958,0,0,S
1,2,F,30.0,12.35,0,0,Q
1,2,F,22.0,29.0,1,1,S
0,3,M,28.0,69.55,8,2,S
1,1,F,36.0,135.6333,0,0,C
0,3,M,61.0,6.2375,0,0,S
1,2,F,36.0,13.0,0,0,S
1,3,F,31.0,20.525,1,1,S
1,1,F,16.0,57.9792,0,1,C
1,3,F,28.0,23.25,2,0,Q
0,1,M,45.5,28.5,0,0,S
0,1,M,38.0,153.4625,0,1,S
0,3,M,16.0,18.0,2,0,S
1,1,F,28.0,133.65,1,0,S
0,3,M,28.0,7.8958,0,0,S
0,1,M,29.0,66.6,1,0,S
1,1,F,41.0,134.5,0,0,C
1,3,M,45.0,8.05,0,0,S
0,1,M,45.0,35.5,0,0,S
1,2,M,2.0,26.0,1,1,S
1,1,F,24.0,263.0,3,2,S
0,2,M,28.0,13.0,0,0,S
0,2,M,25.0,13.0,0,0,S
0,2,M,36.0,13.0,0,0,S
1,2,F,24.0,13.0,0,0,S
1,2,F,40.0,13.0,0,0,S
1,3,F,23.953648968283463,16.1,1,0,S
1,3,M,3.0,15.9,1,1,S
0,3,M,42.0,8.6625,0,0,S
0,3,M,23.0,9.225,0,0,S
0,1,M,28.0,35.0,0,0,S
0,3,M,15.0,7.2292,1,1,C
0,3,M,25.0,17.8,1,0,S
0,3,M,28.0,7.225,0,0,C
0,3,M,28.0,9.5,0,0,S
1,1,F,22.0,55.0,0,1,S
0,2,F,38.0,13.0,0,0,S
1,3,F,28.0,7.8792,0,0,Q
1,3,F,28.0,7.8792,0,0,Q
0,3,M,40.0,27.9,1,4,S
0,2,M,29.0,27.7208,1,0,C
0,3,F,45.0,14.4542,0,1,C
0,3,M,35.0,7.05,0,0,S
0,3,M,28.0,15.5,1,0,Q
0,3,M,30.0,7.25,0,0,S
1,1,F,60.0,75.25,1,0,C
1,3,F,28.0,7.2292,0,0,C
1,3,F,28.0,7.75,0,0,Q
1,1,F,24.0,69.3,0,0,C
1,1,M,25.0,55.4417,1,0,C
0,3,M,18.0,6.4958,1,0,S
0,3,M,19.0,8.05,0,0,S
0,1,M,22.0,135.6333,0,0,C
0,3,F,3.0,21.075,3,1,S
1,1,F,28.0,82.1708,1,0,C
1,3,F,22.0,7.25,0,0,S
0,1,M,27.0,211.5,0,2,C
0,3,M,20.0,4.0125,0,0,C
0,3,M,19.0,7.775,0,0,S
1,1,F,42.0,227.525,0,0,C
1,3,F,1.0,15.7417,0,2,C
0,3,M,32.0,7.925,0,0,S
1,1,F,35.0,52.0,1,0,S
0,3,M,28.0,7.8958,0,0,S
0,2,M,18.0,73.5,0,0,S
0,3,M,1.0,46.9,5,2,S
1,2,F,36.0,13.0,0,0,S
0,3,M,28.0,7.7292,0,0,Q
1,2,F,17.0,12.0,0,0,C
1,1,M,36.0,120.0,1,2,S
1,3,M,21.0,7.7958,0,0,S
0,3,M,28.0,7.925,2,0,S
1,1,F,23.0,113.275,1,0,C
1,3,F,24.0,16.7,0,2,S
0,3,M,22.0,7.7958,0,0,S
0,3,F,31.0,7.8542,0,0,S
0,2,M,46.0,26.0,0,0,S
0,2,M,23.0,10.5,0,0,S
1,2,F,28.0,12.65,0,0,S
1,3,M,39.0,7.925,0,0,S
0,3,M,26.0,8.05,0,0,S
0,3,F,21.0,9.825,1,0,S
0,3,M,28.0,15.85,1,0,S
0,3,F,20.0,8.6625,0,0,S
0,2,M,34.0,21.0,1,0,S
0,3,M,51.0,7.75,0,0,S
1,2,M,3.0,18.75,1,1,S
0,3,M,21.0,7.775,0,0,S
0,3,F,28.0,25.4667,3,1,S
0,3,M,28.0,7.8958,0,0,S
0,3,M,28.0,6.8583,0,0,Q
1,1,F,33.0,90.0,1,0,Q
0,2,M,28.0,0.0,0,0,S
1,3,M,44.0,7.925,0,0,S
0,3,F,28.0,8.05,0,0,S
1,2,F,34.0,32.5,1,1,S
1,2,F,18.0,13.0,0,2,S
0,2,M,30.0,13.0,0,0,S
0,3,F,10.0,24.15,0,2,S
0,3,M,28.0,7.8958,0,0,C
0,3,M,21.0,7.7333,0,0,Q
0,3,M,29.0,7.875,0,0,S
0,3,F,28.0,14.4,1,1,S
0,3,M,18.0,20.2125,1,1,S
0,3,M,28.0,7.25,0,0,S
1,2,F,28.0,26.0,1,0,S
1,2,F,19.0,26.0,0,0,S
0,3,M,28.0,7.75,0,0,Q
1,3,M,32.0,8.05,0,0,S
1,1,M,28.0,26.55,0,0,S
1,3,F,28.0,16.1,1,0,S
1,2,F,42.0,26.0,1,0,S
0,3,M,17.0,7.125,0,0,S
0,1,M,50.0,55.9,1,0,S
1,1,F,14.0,120.0,1,2,S
0,3,F,21.0,34.375,2,2,S
1,2,F,24.0,18.75,2,3,S
0,1,M,64.0,263.0,1,4,S
0,2,M,31.0,10.5,0,0,S
1,2,F,45.0,26.25,1,1,S
0,3,M,20.0,9.5,0,0,S
0,3,M,25.0,7.775,1,0,S
1,2,F,28.0,13.0,0,0,S
1,3,M,28.0,8.1125,0,0,S
1,1,M,4.0,81.8583,0,2,S
1,2,F,13.0,19.5,0,1,S
1,1,M,34.0,26.55,0,0,S
1,3,F,5.0,19.2583,2,1,C
1,1,M,52.0,30.5,0,0,S
0,2,M,36.0,27.75,1,2,S
0,3,M,28.0,19.9667,1,0,S
0,1,M,30.0,27.75,0,0,C
1,1,M,49.0,89.1042,1,0,C
0,3,M,28.0,8.05,0,0,S
1,3,M,29.0,7.8958,0,0,C
0,1,M,65.0,26.55,0,0,S
1,1,F,28.0,51.8625,1,0,S
1,2,F,50.0,10.5,0,0,S
0,3,M,28.0,7.75,0,0,Q
1,1,M,48.0,26.55,0,0,S
0,3,M,34.0,8.05,0,0,S
0,1,M,47.0,38.5,0,0,S
0,2,M,48.0,13.0,0,0,S
0,3,M,28.0,8.05,0,0,S
0,3,M,38.0,7.05,0,0,S
0,2,M,28.0,0.0,0,0,S
0,1,M,56.0,26.55,0,0,S
0,3,M,28.0,7.725,0,0,Q
1,3,F,0.75,19.2583,2,1,C
0,3,M,28.0,7.25,0,0,S
0,3,M,38.0,8.6625,0,0,S
1,2,F,33.0,27.75,1,2,S
1,2,F,23.0,13.7917,0,0,C
0,3,F,22.0,9.8375,0,0,S
0,1,M,28.0,52.0,0,0,S
0,2,M,34.0,21.0,1,0,S
0,3,M,29.0,7.0458,1,0,S
0,3,M,22.0,7.5208,0,0,S
1,3,F,2.0,12.2875,0,1,S
0,3,M,9.0,46.9,5,2,S
0,2,M,28.0,0.0,0,0,S
0,3,M,50.0,8.05,0,0,S
1,3,F,63.0,9.5875,0,0,S
1,1,M,25.0,91.0792,1,0,C
0,3,F,28.0,25.4667,3,1,S
1,1,F,35.0,90.0,1,0,S
0,1,M,58.0,29.7,0,0,C
0,3,M,30.0,8.05,0,0,S
1,3,M,9.0,15.9,1,1,S
0,3,M,28.0,19.9667,1,0,S
0,3,M,21.0,7.25,0,0,S
0,1,M,55.0,30.5,0,0,S
0,1,M,71.0,49.5042,0,0,C
0,3,M,21.0,8.05,0,0,S
0,3,M,28.0,14.4583,0,0,C
1,1,F,54.0,78.2667,1,0,C
0,3,M,28.0,15.1,0,0,S
0,1,F,25.0,151.55,1,2,S
0,3,M,24.0,7.7958,0,0,S
0,3,M,17.0,8.6625,0,0,S
0,3,F,21.0,7.75,0,0,Q
0,3,F,28.0,7.6292,0,0,Q
0,3,F,37.0,9.5875,0,0,S
1,1,F,16.0,86.5,0,0,S
0,1,M,18.0,108.9,1,0,C
1,2,F,33.0,26.0,0,2,S
1,1,M,28.0,26.55,0,0,S
0,3,M,28.0,22.525,0,0,S
1,3,M,26.0,56.4958,0,0,S
1,3,M,29.0,7.75,0,0,Q
0,3,M,28.0,8.05,0,0,S
1,1,M,36.0,26.2875,0,0,S
1,1,F,54.0,59.4,1,0,C
0,3,M,24.0,7.4958,0,0,S
0,1,M,47.0,34.0208,0,0,S
1,2,F,34.0,10.5,0,0,S
0,3,M,28.0,24.15,0,0,Q
1,2,F,36.0,26.0,1,0,S
0,3,M,32.0,7.8958,0,0,S
1,1,F,30.0,93.5,0,0,S
0,3,M,22.0,7.8958,0,0,S
0,3,M,28.0,7.225,0,0,C
1,1,F,44.0,57.9792,0,1,C
0,3,M,28.0,7.2292,0,0,C
0,3,M,40.5,7.75,0,0,Q
1,2,F,50.0,10.5,0,0,S
0,1,M,28.0,221.7792,0,0,S
0,3,M,39.0,7.925,0,0,S
0,2,M,23.0,11.5,2,1,S
1,2,F,2.0,26.0,1,1,S
0,3,M,32.82142598904528,7.2292,0,0,C
0,3,M,17.0,7.2292,1,1,C
1,3,F,28.0,22.3583,0,2,C
0,3,F,30.0,8.6625,0,0,S
1,2,F,7.0,26.25,0,2,S
0,1,M,45.0,26.55,0,0,S
1,1,F,30.0,106.425,0,0,C
0,3,M,15.280317159846726,14.5,0,0,S
1,1,F,22.0,49.5,0,2,C
1,1,F,36.0,71.0,0,2,S
0,3,F,9.0,31.275,4,2,S
0,3,F,11.0,31.275,4,2,S
1,2,M,32.0,26.0,1,0,S
0,1,M,50.0,106.425,1,0,C
0,1,M,64.0,26.0,0,0,S
1,2,F,19.0,26.0,1,0,S
1,2,M,28.0,13.8625,0,0,C
0,3,M,33.0,20.525,1,1,S
1,2,M,8.0,36.75,1,1,S
1,1,M,17.0,110.8833,0,2,C
0,2,M,27.0,26.0,0,0,S
0,3,M,31.185870984587126,7.8292,0,0,Q
1,3,M,22.0,7.225,0,0,C
1,3,F,22.0,7.775,0,0,S
0,1,M,62.0,26.55,0,0,S
1,1,F,48.0,39.6,1,0,C
0,1,M,28.0,227.525,0,0,C
1,1,F,39.0,79.65,1,1,S
1,3,F,36.0,17.4,1,0,S
0,3,M,28.0,7.75,0,0,Q
0,3,M,40.0,7.8958,0,0,S
0,2,M,28.0,13.5,0,0,S
0,3,M,28.0,8.05,0,0,S
0,3,F,28.0,8.05,0,0,S
0,3,M,24.0,24.15,2,0,S
0,3,M,19.0,7.8958,0,0,S
0,3,F,29.0,21.075,0,4,S
0,3,M,5.38895722006915,7.2292,0,0,C
1,3,M,32.0,7.8542,0,0,S
1,2,M,62.0,10.5,0,0,S
1,1,F,53.0,51.4792,2,0,S
1,1,M,36.0,26.3875,0,0,S
1,3,F,36.278695986165026,7.75,0,0,Q
0,3,M,16.0,8.05,0,0,S
0,3,M,19.0,14.5,0,0,S
1,2,F,34.0,13.0,0,0,S
1,1,F,39.0,55.9,1,0,S
0,3,F,28.0,14.4583,1,0,C
1,3,M,32.0,7.925,0,0,S
1,2,F,25.0,30.0,1,1,S
1,1,F,39.0,110.8833,1,1,C
0,2,M,54.0,26.0,0,0,S
0,1,M,36.0,40.125,0,0,C
0,3,M,28.0,8.7125,0,0,C
1,1,F,18.0,79.65,0,2,S
0,2,M,47.0,15.0,0,0,S
1,1,M,60.0,79.2,1,1,C
0,3,M,22.0,8.05,0,0,S
0,3,M,28.0,8.05,0,0,S
0,3,M,35.0,7.125,0,0,S
1,1,F,52.0,78.2667,1,0,C
0,3,M,47.0,7.25,0,0,S
0,3,F,28.0,7.75,0,2,Q
0,2,M,37.0,26.0,1,0,S
0,3,M,36.0,24.15,1,1,S
1,2,F,28.0,33.0,0,0,S
0,3,M,49.0,0.0,0,0,S
0,3,M,28.0,7.225,0,0,C
1,1,M,49.0,56.9292,1,0,C
1,2,F,24.0,27.0,2,1,S
0,3,M,28.0,7.8958,0,0,S
0,1,M,28.0,42.4,0,0,S
0,3,M,44.0,8.05,0,0,S
1,1,M,35.0,26.55,0,0,C
0,3,M,36.0,15.55,1,0,S
0,3,M,30.0,7.8958,0,0,S
1,1,M,27.0,30.5,0,0,S
1,2,F,22.0,41.5792,1,2,C
1,1,F,40.0,153.4625,0,0,S
0,3,F,39.0,31.275,1,5,S
0,3,M,28.0,7.05,0,0,S
1,3,F,28.0,15.5,1,0,Q
0,3,M,28.0,7.75,0,0,Q
0,3,M,35.0,8.05,0,0,S
1,2,F,24.0,65.0,1,2,S
0,3,M,34.0,14.4,1,1,S
0,3,F,26.0,16.1,1,0,S
1,2,F,4.0,39.0,2,1,S
0,2,M,26.0,10.5,0,0,S
0,3,M,27.0,14.4542,1,0,C
1,1,M,42.0,52.5542,1,0,S
1,3,M,20.0,15.7417,1,1,C
0,3,M,21.0,7.8542,0,0,S
0,3,M,21.0,16.1,0,0,S
0,1,M,61.0,32.3208,0,0,S
0,2,M,57.0,12.35,0,0,Q
1,1,F,21.0,77.9583,0,0,S
0,3,M,26.0,7.8958,0,0,S
0,3,M,28.0,7.7333,0,0,Q
1,1,M,80.0,30.0,0,0,S
0,3,M,51.0,7.0542,0,0,S
1,1,M,32.0,30.5,0,0,C
0,1,M,28.0,0.0,0,0,S
0,3,F,9.0,27.9,3,2,S
1,2,F,28.0,13.0,0,0,S
0,3,M,32.0,7.925,0,0,S
0,2,M,31.0,26.25,1,1,S
0,3,F,41.0,39.6875,0,5,S
0,3,M,28.0,16.1,1,0,S
0,3,M,20.0,7.8542,0,0,S
1,1,F,24.0,69.3,0,0,C
0,3,F,2.0,27.9,3,2,S
1,3,M,28.0,56.4958,0,0,S
1,3,F,0.75,19.2583,2,1,C
1,1,M,48.0,76.7292,1,0,C
0,3,M,19.0,7.8958,0,0,S
1,1,M,56.0,35.5,0,0,C
0,3,M,28.0,7.55,0,0,S
1,3,F,23.0,7.55,0,0,S
0,3,M,28.0,7.8958,0,0,S
1,2,F,18.0,23.0,0,1,S
0,3,M,21.0,8.4333,0,0,S
1,3,F,28.0,7.8292,0,0,Q
0,3,F,18.0,6.75,0,0,Q
0,2,M,24.0,73.5,2,0,S
0,3,M,28.0,7.8958,0,0,S
0,3,F,32.0,15.5,1,1,Q
0,2,M,23.0,13.0,0,0,S
0,1,M,58.0,113.275,0,2,C
1,1,M,50.0,133.65,2,0,S
0,3,M,40.0,7.225,0,0,C
0,1,M,47.0,25.5875,0,0,S
0,3,M,36.0,7.4958,0,0,S
1,3,M,20.0,7.925,1,0,S
0,2,M,32.0,73.5,2,0,S
0,2,M,25.0,13.0,0,0,S
0,3,M,0.0,7.775,0,0,S
0,3,M,43.0,8.05,0,0,S
1,1,F,0.321965164851668,52.0,1,0,S
1,2,F,40.0,39.0,1,1,S
0,1,M,31.0,52.0,1,0,S
0,2,M,70.0,10.5,0,0,S
1,2,M,31.0,13.0,0,0,S
0,2,M,28.0,0.0,0,0,S
0,3,M,18.0,7.775,0,0,S
0,3,M,24.5,8.05,0,0,S
1,3,F,18.0,9.8417,0,0,S
0,3,F,43.0,46.9,1,6,S
